Общая стоимость товаров,Общая сумма заказа,ID товара,Наименование,Артикул_x,Свободно,В резерве,Ед. изм,Цена закупки,Валюта цены представление,Артикул_y,Id,Количество товаров
312,312,148073969,"опора шаровая 1/2"" с железным шаром",lc9206,-1,1,шт,,,lc9206,,
395,395,160139008,linux mint 19 (для платформы x86-64 / 1dvd),mint-19-DVD-64,,,,,,,,
495,495,156425816,debian 9.11 (для платформы x86-64 / usb flash 16 gb),debian-911-USB-64,,,,387,,,,
9642,11011,148073732,"книга ""ubuntu linux с нуля""",B-BHV-3953,,,,350,,,,
9642,11011,156432510,"книга ""командная строка linux. полное руководство. 2-е межд. изд.""",B-PIT-1430,,,,965.09000000000003,,,,
9642,11011,148073759,"книга ""компьютерные сети. 5-е изд.""",lc977,,,,,,,,
5720,6048,148073611,"intel® edison compute module (iot, off-board antenna) (edison)",EDI2.SPOF.AL.S,,,,,,,,
732,1058,148073830,"книга ""электроника: логические микросхемы, усилители и датчики для начинающих""",lc1075,,,шт,,,lc1075,,
2900,3151,160828922,debian 10.2 (для платформы i386 / 16 dvd (полный набор репозиториев)),debian-102-16DVD-32,,,,681,,,,
2900,3151,160828922,debian 10.2 (для платформы x86-64 / 16 dvd (полный набор репозиториев)),debian-102-16DVD-64,,,,681,,,,
422.64999999999998,796.00999999999999,148073524,ubuntu 18.04 (для платформы x86-64 / 1dvd),ubuntu-1804-DVD-64,,,,,,,,
2000,2338,148073934,"кружка ""caffeine loading""",linuxCUP-01,,,шт,,,linuxCUP-01,,
2000,2338,148073928,футболка мужская «open minded/source» (m),TSHIRT-07,,,,,,,,
2980,2980,148073865,электронный конструктор микроник,AMP-S016,,,,710,,,,
2980,2980,148073866,электронный конструктор робожук,AMP-S042,,,,1428,,,,
581.36000000000001,841.36000000000001,148073687,"исследовательский набор ""природное электричество""",NDP-035,,,,,,,,
1080,1429,148073668,libreoffice 6.2 (с лицензионным договором присоединения) (1dvd),libreoffice-62-DVD-L,,,,,,,,
830.96000000000004,1193,148073672,электронный конструктор nd play на элементах питания боевой дроид,NDP-061,,,шт,,,NDP-061,,
3240,3964.4499999999998,156670245,ubuntu 19.10 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),ubuntu-1910-DVD-64_lic,,,,,,,,
1490,1490,156670245,ubuntu 19.10 (с лицензионным договором присоединения) (для платформы x86-64 / usb flash 16 gb),ubuntu-1910-USB-64_lic,,,,,,,,
2579.1999999999998,2942,160828922,debian 10.2 (для платформы x86-64 / usb flash 16 gb),debian-102-USB-64,,,,380.5,,,,
2579.1999999999998,2942,156667737,ubuntu 19.10 (для платформы x86-64 / usb flash 16 gb),ubuntu-1910-USB-64,,,,,,,,
2579.1999999999998,2942,148073732,"книга ""ubuntu linux с нуля""",B-BHV-3953,,,,350,,,,
2579.1999999999998,2942,148073755,"книга ""самоучитель системного администратора, 5-е издание""",lc973,,,,,,,,
30600,30916,148073985,одноплатный микрокомпьютер raspberry pi 3 b+,RPI-3Bplus-1GB,4,1,шт,,,RPI-3Bplus-1GB,,
5189.6000000000004,5402.6000000000004,159460028,электронный конструктор планета xod,AMP-S041,,,,3580,,,,
5290,5290,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
2230,2567,148073587,"блок питания для raspberry pi 3 в, белый",lc8689,,,шт,,,lc8689,,
2230,2567,148074035,оригинальный блок питания для cubieboard 3/4/5/6 5v/4a,lc8741,,,шт,,,lc8741,,
8075,8075,148073405,электронный конструктор бхв-петербург дерзай 37742 мобильные роботы на базе arduino,lc9153,,4,шт,,,lc9153,,
5290,5290,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
410.80000000000001,680,148073524,ubuntu 18.04 (для платформы x86-64 / 1dvd),ubuntu-1804-DVD-64,,,,,,,,
6840.0799999999999,7203,148073960,источник бесперебойного питания 5 в 2.5 а для raspberry pi (питание),GG-003631,,,,990,,,,
6840.0799999999999,7203,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
5290,5540,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
6740,6990,148073984,блок питания для raspberry pi 4,RPI-4-PSU,,,,,,,,
6740,6990,148726626,корпус для raspberry pi 4,RPI-4B-case,,,шт,,,RPI-4B-case-RW,,
6740,6990,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
60780,61030,148074050,набор arduino starter kit с rfid,lc1382,,8,шт,1960,,lc1382,,
60780,61030,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
6990,7353,148073864,электронный конструктор малина,AMP-S039,,,,6090,,,,
3987,4432,148074014,образовательный конструктор - лаборатория гика. базовый курс,GG-005077,,,шт,2290,,GG-005077,,
5290,5290,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
990,1075,148073865,электронный конструктор микроник,AMP-S016,,,,710,,,,
